pair_id,similarity_type,candidate_id,job_id,candidate_title,job_title,candidate_skills,job_requirements,predicted_similarity,human_label
139,random,5789,204,Hành Chính - Văn Phòng,Nhân Viên Kho,"['quản lý văn thư, Tài liệu', 'soạn thảo văn bản hành chính', 'tổ chức và sắp xếp lịch trình', 'sử dụng thành thạo ms office', 'kỹ năng giao tiếp và giải quyết vấn đề', 'hỗ trợ các sự kiện nội bộ']","- Nữ, từ 18 - 35 tuổi- Trung thực, chịu khó, chăm chỉ.- Có kinh nghiệm làm kho, thu ngân; hoặc tốt nghiệp trung cấp nghề Kế toán trở lên.- Vi tính và Excel cơ bản.",0.272,
140,medium,15674,10594,Nhân Viên Chăm Sóc Khách Hàng,TUYỂN NHÂN VIÊN CHĂM SÓC KHÁCH HÀNG (10- 15 TRIỆU THÁNG),"['giao tiếp khéo léo, Giọng nói dễ nghe', 'kiên nhẫn và thấu cảm', 'kỹ năng xử lý tình huống', 'đánh máy nhanh', 'sử dụng thành thạo các công cụ văn phòng']","- Không quá 40 tuổi - Yêu thích công việc tư vấn,giọng nói dễ nghe - Có tinh thần ham học tốt, có mục tiêu phấn đấu để thăng tiến, có máu kiếm tiền - Sử dụng vi tính văn phòng.",0.667,
141,random,15674,13332,Nhân Viên Chăm Sóc Khách Hàng,Chuyên Viên Truyền Thông Marketing,"['giao tiếp khéo léo, Giọng nói dễ nghe', 'kiên nhẫn và thấu cảm', 'kỹ năng xử lý tình huống', 'đánh máy nhanh', 'sử dụng thành thạo các công cụ văn phòng']","1. Trình độ học vấn/chuyên môn, kinh nghiệm: - Có bằng cao đẳng trở lên thuộc lĩnh vực Marketing, quản trị kinh doanh, quản trị hệ thống thông tin quản lý, Quản trị công nghệ thông tin.... Ít nhất 1 năm kinh nghiệm ở vị trí truyền thông Marketing. - Trình độ công nghệ thông tin đảm bảo phục vụ công việc được giao. 2. Kỹ năng, Phẩm chất cá nhân: - Kỹ năng giao tiếp tốt; Kỹ năng xử lý các tình huống, năng động, chịu khó update, học hỏi các xu hướng thị trường. - Kỹ năng viết content. - Có kỹ năng làm việc độc lập và teamwork; Sẵn sàng với cường độ công việc cao. - Trung thực, nhanh nhẹn; Khéo léo và tế nhị trong giao tiếp.",0.11,
142,random,13515,8143,Kỹ thuật viên sửa chữa bảng mạch,Giao Dịch Viên,"['sửa chữa bảng mạch', 'hàn linh kiện smd/dip', 'phân tích mạch điện', 'sử dụng máy đo (oscope, Multimeter)', 'kiểm tra chất lượng', 'giải quyết vấn đề kỹ thuật']","• Có khả năng giao tiếp tốt, có tính kiên trì.• Có tinh thần học hỏi và biết lắng nghe, đam mê và nhiệt huyết trong công việc.• Ưu tiên các ứng viên có kinh nghiệm trong ngành tài chính – chứng khoán.",0.391,
143,high,8414,3267,Nhân Viên Kế Toán(đang Tìm Việc),Nhân Viên Kế Toán Thuế Thu Nhập Từ 15 - 20M Làm Việc Tại Tây Hồ,"['kế toán tổng hợp', 'phần mềm kế toán (misa, Fast accounting)', 'lập báo cáo tài chính', 'kế toán thuế', 'kiểm soát chi phí', 'microsoft excel thành thạo']","Kinh nghiệm 1 năm trờ lên Am hiểu về luật thuế: thu nhập doanh nghiệp, thu nhập cá nhân,...Lập báo cáo tài chính, soát xét hồ sơ.Có kinh nghiệm quyết toán thuế tại các đơn vị trước đây.Tốt nghiệp đại học chuyên ngành tài chính kế toánCó kinh nghiệm làm trong ngành thương mại điện tử là một lợi thế.",0.913,
144,medium,8414,4397,Nhân Viên Kế Toán(đang Tìm Việc),Trưởng Nhóm Phân Tích Nghiệp Vụ (Ba Leader),"['kế toán tổng hợp', 'phần mềm kế toán (misa, Fast accounting)', 'lập báo cáo tài chính', 'kế toán thuế', 'kiểm soát chi phí', 'microsoft excel thành thạo']","Tốt nghiệp Đại học các chuyên ngành Kinh tế, Tài chính.Hiểu biết về nghiệp vụ Kinh tế như Kế toán Tài chính, Kế toán Ngân sách, Hành chính công.Hiểu biết về lĩnh vực hoạt động của khách hàng, nhu cầu của khách hàng.Làm việc độc lập, giao tiếp tốt, làm việc nhóm và giải quyết vấn đềTối thiểu 5 năm làm Phân tích nghiệp vụ, ưu tiên trong lĩnh vực ngân hàng, tài chính, bảo hiểm",0.509,
145,random,8414,4767,Nhân Viên Kế Toán(đang Tìm Việc),Nhân Viên Chăm Sóc Khách Hàng (Part-Time/Full - Time),"['kế toán tổng hợp', 'phần mềm kế toán (misa, Fast accounting)', 'lập báo cáo tài chính', 'kế toán thuế', 'kiểm soát chi phí', 'microsoft excel thành thạo']","- Tốt nghiệp từ trung cấp trở lên.- Chịu khó, kiên trì, yêu thích công việc. Muốn gắn bó lâu dài.- Sử dụng được tin học văn phòng Word, Exel.",0.238,
146,medium,36445,1455,Nội dung bán thời gian,Trợ Lý Kinh Doanh Kiêm Chăm Sóc Khách Hàng,"['viết bài chuẩn seo cơ bản', 'sáng tạo nội dung', 'quản lý mạng xã hội (facebook, Instagram)', 'tìm kiếm và tổng hợp thông tin', 'chỉnh sửa ảnh cơ bản (canva)', 'thái độ học hỏi nhanh', 'kỹ năng giao tiếp']","1. Bắt buộc: - Theo học năm thứ ba trở lên hoặc đã tốt nghiệp đại học, cao đẳng chuyên ngành thuộc các nhóm ngành kinh tế, công nghệ thông tin hoặc tương đương. - Có kỹ năng mở và theo dõi bug: mô tả lỗi rõ ràng, mạch lạc, theo dõi lỗi và cung cấp thông tin log kịp thời để fix lỗi. - Định hướng sự nghiệp theo công việc kinh doanh. 2. Điểm cộng: - Có hiểu biết về quy trình phát triển sản phẩm, có khả năng sử dụng các công vụ quản lý lỗi. - Có khả năng phân tích, theo dõi công việc hoàn thành đúng tiến độ, đáp ứng lịch trình dự án. - Giọng nói rõ ràng dễ nghe, kỹ năng giao tiếp tốt, vui vẻ và thân thiện.",0.648,
147,random,36445,4462,Nội dung bán thời gian,Trưởng Nhóm Dự Toán Mep,"['viết bài chuẩn seo cơ bản', 'sáng tạo nội dung', 'quản lý mạng xã hội (facebook, Instagram)', 'tìm kiếm và tổng hợp thông tin', 'chỉnh sửa ảnh cơ bản (canva)', 'thái độ học hỏi nhanh', 'kỹ năng giao tiếp']","1,Học vấn, trình độ chuyên môn Tốt nghiệp Đại học trở lên, chuyên ngành điện/nhiệt lạnh/ tự động hóa.2, Kinh nghiệm làm việc (số năm kinhnghiệm, lĩnh vực) Kinh nghiệm 05-08 năm làm chuyên môn quản lý chi phí xây dựng phần MEP và 02 năm làm ở vị trí tương đương.3, Kiến thức, Kỹ năng, thái độ/tố chấtTố chất cần thiết cho công việc- Cẩn thận, chăm chỉ, có trách nhiệm trong công việc, chịu được áplực công việc- Có khả năng phối hợp, giao tiếp tốt với đồng nghiệp.- Có kỹ năng làm việc theo nhóm và độc lập.- Linh hoạt và thích nghi- Khả năng học hỏi và cập nhậtKiến thức chuyên môn- Tổ chức, quản lý công việc hiệu quả- Nắm vững suất đầu tư thực tế thi công xây dựng cho các loại hình công trình- Hiểu biết về giá các loại vật tư thiết bị trong xây dựng- Có khả năng xem xét đánh giá giá trị dự toán/ngân sách các hệ MEP.Kỹ năng thiết yếu cho công việc- Kỹ năng quản lý tốt, nhạy bén, quyết tâm, trung thực trong công việc.- Có kĩ năng trình bày báo cáo & viết báo cáo tốt. Ngoại ngữTin học Sử dụng thành thạo các phần mềm excel, acard, word…4, Tiêu chuẩn khác - Tuân thủ kỷ luật.Tuyển dụng này tuân thủ chính sách công bằng và không phân biệt giới tính",0.323,
148,medium,12333,3280,Lập Trình Viên,Lập Trình Viên Rpa (Fresher),"['lập trình hướng đối tượng (oop)', 'ngôn ngữ lập trình: java, Python, Javascript (html, Css)', 'cơ sở dữ liệu: sql (mysql, Postgresql)', 'sử dụng git/github', 'kỹ năng giải quyết vấn đề và tư duy logic', 'tinh thần tự học và làm việc nhóm hiệu quả']","• Tốt nghiệp chuyên ngành Công nghệ thông tin, Điện tử viễn thông, Tự động hóa hoặc các chuyên ngành có liên quan về lập trình phát triển ứng dụng các trường đào tạo Cao Đẳng/ Đại học• Có nền tảng kiến thức lập trình tốt với các ngôn ngữ lập trình như: C, VB, Python• Có khả năng sự dụng tốt Database: Sql, Oracle....• Có thái độ cầu tiến, khả năng học hỏi, chủ động, trách nhiệm trong công việc• Tinh thần làm việc theo đội nhóm tốt",0.634,
149,random,12333,12829,Lập Trình Viên,Việc làm thêm parttime quận Thủ Đức xoay ca sinh viên,"['lập trình hướng đối tượng (oop)', 'ngôn ngữ lập trình: java, Python, Javascript (html, Css)', 'cơ sở dữ liệu: sql (mysql, Postgresql)', 'sử dụng git/github', 'kỹ năng giải quyết vấn đề và tư duy logic', 'tinh thần tự học và làm việc nhóm hiệu quả']","- Độ tuổi: 18-25 tuổi ( Nam/nữ ) - Có CMND gốc - Tốt nghiệp THPT - Thái độ tốt, siêng năng, chăm chỉ làm việc",0.22,
150,medium,641,5566,Nhân Viên Lái Xe Nâng Nâng,Nhân Viên Content Marketing (Lương Cơ Bản 9 - 13 Triệu + Thưởng),"['lái xe nâng điện và dầu', 'chứng chỉ lái xe nâng', 'kiểm tra, Bảo dưỡng xe cơ bản', 'sắp xếp hàng hóa khoa học', 'tuân thủ quy định an toàn lao động']","Tốt nghiệp: Đại học chính quy. Có ít nhất 01 năm kinh nghiệm làm việc viết content fanpage. Có kinh nghiệm viết content để chạy quảng cáo, SEO. Có kinh nghiệm triển khai, truyền thông các chương trình khuyến mãi. Yêu thích mỹ phẩm và làm đẹp. Thường xuyên theo dõi các kênh làm đẹp.. Giao tiếp tốt, thông minh, ứng xử nhanh nhẹn. Chịu được áp lực cao. Có khả năng tự sắp xếp và tổ chức công việc. Thành thạo vi tính văn phòng. Có mong muốn được gắn bó lâu dài với công ty. Biết edit ảnh, video cơ bản là lợi thế",0.541,
151,random,641,14297,Nhân Viên Lái Xe Nâng Nâng,Việc làm Partime xoay ca linh hoạt,"['lái xe nâng điện và dầu', 'chứng chỉ lái xe nâng', 'kiểm tra, Bảo dưỡng xe cơ bản', 'sắp xếp hàng hóa khoa học', 'tuân thủ quy định an toàn lao động']","✿ : ▪ BÁN HÀNG SOẠN HÀNG & ĐÓNG GÓI HÀNG cho các đơn hàng khách đặt ▪ Tỉ Mỉ, Cẩn Thận, Nhanh Nhạy Tập Trung đóng hàng Đúng Sản Phẩm & Đúng Số Lượng Khách Đặt. ▪ Trung thực, chăm chỉ, chịu học hỏi.",0.394,
152,medium,24865,10610,Việc Làm Lễ Tân,Nhân viên telesale,"['dịch vụ khách hàng', 'giao tiếp hiệu quả', 'xử lý tình huống', 'sử dụng hệ thống quản lý khách sạn (pms)', 'tiếng anh giao tiếp', 'thân thiện và chuyên nghiệp']","KHÔNG YÊU CẦU KINH NGHIỆM. Nếu có kinh nghiệm về telesales, sale các sản phẩm sữa, bỉm, dược phẩm là một lợi thế - Chăm chỉ, nhanh nhẹn, cầu tiến, năng lực tư duy và xử lý tình huống tốt - Kỹ năng giao tiếp, đàm phán, tốt. Giọng nói dễ nghe, không nói ngọng, nọi giọng địa phương quá khó nghe. - Đam mê kiếm tiền.",0.743,
153,random,24865,14628,Việc Làm Lễ Tân,TUYỂN NHÂN VIÊN DÁN NHÃN DỮ LIỆU HÌNH ẢNH,"['dịch vụ khách hàng', 'giao tiếp hiệu quả', 'xử lý tình huống', 'sử dụng hệ thống quản lý khách sạn (pms)', 'tiếng anh giao tiếp', 'thân thiện và chuyên nghiệp']","▶️: • Có kinh nghiệm dán nhãn dữ liệu hình ảnh 2D là một lợi thế • Không yêu cầu bằng cấp CĐ/ĐH. • Bắt buộc có laptop cá nhân và chuột máy tính. • Chăm chỉ, cẩn thận, tỉ mỉ, có định hướng gắn bó lâu dài. • Không phân biệt nam/ nữ.",0.219,
154,medium,28386,5229,Giáo Viên Cờ Vua,Gia Sư Tiếng Anh Giao Tiếp (Online),"['giảng dạy cờ vua (cơ bản đến nâng cao)', 'phân tích ván đấu', 'kỹ năng sư phạm', 'giao tiếp với trẻ em và phụ huynh', 'tổ chức lớp học', 'kiến thức về chiến thuật, Khai cuộc cờ vua']","Có chứng chỉ tiếng Anh tương đương C1 trở lên:- TOEIC ≥ 850.- IELTS ≥ 7.0.- TOEFL ≥ 94.- Tốt nghiệp (đang chờ bằng) các trường Đại học chuyên ngành ngôn ngữ Anh, sư phạm Tiếng Anh là một lợi thế.Kinh nghiệm: Ưu tiên ứng viên đã từng đi giảng dạy/có kinh nghiệm đào tạo.Kỹ năng:- Khả năng phát âm tốt.- Yêu thích công việc chia sẻ, đào tạo & phát triển con người.- Khả năng giao tiếp tốt và khuyến khích học viên nói tiếng Anh.Thái độ, tố chất:- Tâm huyết, có trách nhiệm với công việc.- Nhanh nhẹn, chủ động.",0.685,
155,random,28386,9480,Giáo Viên Cờ Vua,Middle Python Developer (Remote + Hybrid),"['giảng dạy cờ vua (cơ bản đến nâng cao)', 'phân tích ván đấu', 'kỹ năng sư phạm', 'giao tiếp với trẻ em và phụ huynh', 'tổ chức lớp học', 'kiến thức về chiến thuật, Khai cuộc cờ vua']",Nắm vững kinh nghiệm về ngôn ngữ PythonKhoảng 3 năm kinh nghiệm chuyên sâu với PythonCó tinh thần cộng tác và xây dựng tập thểCó tinh thần tự giác và ý thức làm việc trong quá trình làm việc Flextime và RemoteƯu tiên: Có hiểu biết về AWS và Database: Postgresql,0.275,
156,random,15338,5077,Kế Toán Bán Hàng,Trợ Lý Tiếng Trung,,"- Tốt nghiệp CĐ, ĐH- Thành thạo tiếng Trung- Kỹ năng giao tiếp, thương lượng, đàm phán, thuyết phục tốt- Tự tin, trung thực- Nhanh nhẹn, chủ động trong công việc",0.355,
157,random,30006,10595,Thợ Phụ Cắm Hoa,Nhân viên kinh doanh - Hoạt động lĩnh vực quan trắc môi trường,"['kỹ năng cắm hoa chuyên nghiệp', 'sáng tạo và cảm nhận màu sắc', 'tư vấn thiết kế hoa', 'quản lý vật liệu hoa', 'đào tạo thợ phụ']","Tốt nghiệp ngành quản trị kinh doanh, quản lý môi trường, khoa học môi trường….......",0.351,
158,medium,39905,6296,Giám Sát,Nhân Viên Chăm Sóc Khách Hàng (Customer Support Pod),"['quản lý sản xuất', 'kiểm soát chất lượng', 'an toàn vệ sinh thực phẩm (haccp, Iso)', 'quản lý đội nhóm', 'giải quyết vấn đề']","- Trình độ: Tốt nghiệp trung cấp trở lên, ưu tiên có ít nhất 1 năm kinh nghiệm ở vị trí tương đương- Giọng nói chuẩn, truyển cảm, không ngọng, nói lắp- Cẩn thận, linh hoạt, nhanh nhẹn, giao tiếp tốt, có khả năng giải quyết vấn đề và xử lý tình huống",0.686,
159,random,39905,4388,Giám Sát,Chuyên Gia Nền Tảng Dữ Liệu Phân Tích - MSB Df - Dxa - 1M350,"['quản lý sản xuất', 'kiểm soát chất lượng', 'an toàn vệ sinh thực phẩm (haccp, Iso)', 'quản lý đội nhóm', 'giải quyết vấn đề']","Bằng cử nhân hoặc Thạc sĩ trong các lĩnh vực: Thống kê, Toán, Phân tích định lượng, Khoa học máy tính, Phát triển phần mềm hoặc Công nghệ thông tinÍt nhất 4 năm kinh nghiệm với lĩnh vực ngân hàng hoặc có hiểu biết sâu rộng về mô hình kinh doanh & kiến trúc dữ liệu ngân hàng4+ năm kinh nghiệm liên quan về:- Các hệ thống quản trị cơ sở dữ liệu (e.g. Oracle, MySQL, MS SQLServer)- Các ngôn ngữ lập trình (vd: Python, Scala, Java, Rust, Kotlin)Có kinh nghiệm thiết kế và xây dựng kiến trúc dữ liệu, luồng ETL & kho dữ liệuSử dụng tiếng Anh thành thạoHiểu rõ nguyên lý làm việc Agilevà thực hành theo khung Scrum",0.192,
160,random,23833,4869,Lái Xe Dấu C,Mid-Level IOS Software Developer,"['lái xe tải, Xe khách (hạng c)', 'kiểm tra, Bảo dưỡng xe cơ bản', 'nắm rõ luật giao thông', 'thao tác an toàn', 'giải quyết sự cố nhỏ trên đường', 'lên kế hoạch lộ trình hiệu quả']","Requires a deep understanding of software development on iOS with 2+ years of related work experience. Strong knowledge of Objective-C & iOS FrameworksGood at designing/implementing successful UI for Touch UI.Quick learning, enjoy working in a wide range of technologies.Understanding OOAD and OOP is a requirement.Knowing Reactive programming, NoSQL is a plus.Has experience with integrating external hardware (e.g payment devices, printer) is a big plusSuccessful in the development and submission of any iOS application is a plus.A good team player and enthusiastic about learning new skills/platforms.​ Years of experience: 02+ yearsMinimum career level: Experienced (Non-Manager)Minimum education level: Not requiredComplexity/Supervision:Relies on experience and judgment to accomplish goals.Performs a variety of tasks.A wide degree of creativity and latitude is expectedPreferred language for received applications: English",0.209,
161,medium,41056,6616,Nhân Viên Thiết Kế - Designer,Editor Video (10-15 Triệu),"['thiết kế đồ họa 2d, 3d (photoshop, Illustrator, Indesign, Figma)', 'thiết kế ui/ux', 'dàn trang in ấn và xuất bản', 'chỉnh sửa ảnh và video cơ bản', 'thấu hiểu tâm lý khách hàng và thị trường', 'sáng tạo và tư duy thẩm mỹ', 'quản lý thời gian và deadline']","Yêu thích và muốn học hỏi về YoutubeCó 1 năm kinh nghiệm trở lên ở các vị trí tương đươngỨng viên biết sử dụng các phần mềm thiết kế After Effect, Photoshop, Premiere, IllustratorCó kiến thức về hình ảnh, bố cục và thẩm mỹ tốtKỹ năng làm việc nhóm tốt, chịu được áp lực công việcGửi portfolio kèm CV ứng tuyển",0.598,
162,random,41056,3296,Nhân Viên Thiết Kế - Designer,Nhân Viên Chăm Sóc Khách Hàng,"['thiết kế đồ họa 2d, 3d (photoshop, Illustrator, Indesign, Figma)', 'thiết kế ui/ux', 'dàn trang in ấn và xuất bản', 'chỉnh sửa ảnh và video cơ bản', 'thấu hiểu tâm lý khách hàng và thị trường', 'sáng tạo và tư duy thẩm mỹ', 'quản lý thời gian và deadline']","- Giao tiếp tiếng Anh cơ bản.- Có khả năng tư vấn hỗ trợ khách hàng- Có kỹ năng soạn thảo văn bản, email.- Không nói ngọng, không tiếng địa phương.- Ngoại hình ưa nhìn.",0.253,
163,high,39865,13567,Sinh Viên Mới Ra Trường,Chuyên Viên Tư Vấn Bất Động Sản Lương 40 Triệu Làm Tại Nhà,"['tin học văn phòng (word, Excel, Powerpoint)', 'tìm kiếm và tổng hợp thông tin', 'giao tiếp tốt', 'tinh thần cầu tiến', 'làm việc nhóm', 'sử dụng cơ bản canva']","- Đam mê kinh doanh - Có tinh thần cầu tiến, nhiệt huyết và khát khao đạt thu nhập xứng đáng với năng lực làm việc. - Có khả năng làm việc độc lập, làm việc đội nhóm - Có điện thoại, xe máy, laptop. - Công ty sẵn sàng đào tạo cho các ứng viên chưa có kinh nghiệm.",0.942,
164,medium,39865,3494,Sinh Viên Mới Ra Trường,Nhân Viên Livestream Bán Hàng,"['tin học văn phòng (word, Excel, Powerpoint)', 'tìm kiếm và tổng hợp thông tin', 'giao tiếp tốt', 'tinh thần cầu tiến', 'làm việc nhóm', 'sử dụng cơ bản canva']","- Ưu tiên các bạn nam, nữ độ tuổi: 18-26 tuổi- Ngoại hình ưa nhìn, sáng, thu hút.- Phản xạ giao tiếp tốt.- Ưu tiên các bạn đã có kinh nghiệm livestream brand là 1 lợi thế.",0.709,
165,random,39865,3971,Sinh Viên Mới Ra Trường,"Nhân Viên Kỹ Thuật (Điện, Điện Tử)","['tin học văn phòng (word, Excel, Powerpoint)', 'tìm kiếm và tổng hợp thông tin', 'giao tiếp tốt', 'tinh thần cầu tiến', 'làm việc nhóm', 'sử dụng cơ bản canva']","Giới tính Nam. Độ tuổi: từ 23 đến 35 tuổi. Tốt nghiệp Cao đẳng trở lên chuyên ngành kỹ thuật Cơ điện tử, Điện - điện tử, Tự động hóa. Có kiến thức cơ bản về Điện/ Điện tự. Am hiểu về các thiết bị công nghiệp tự động hóa, hệ thống điều khiển tự động, biết vận hành hệ thống xử lý không khí HVAC. Có thể đọc bảng vẽ kỹ thuật liên quan đến cơ khí, điện, điện tử. Kinh nghiệm: Ít nhất 01 năm kinh nghiệm về điện- tự động hóa. Có khả năng sử dụng vi tính văn phòng. Ưu tiên các ứng viên biết 2D,3D,...",0.355,
166,medium,7174,8212,Quản Lý,Nhân Viên Quản Lý Nghiên Cứu Khoa Học/Thử Nghiệm Lâm Sàng,"['tiếng anh thành thạo (c1/ielts 7.0+)', 'kỹ năng biên dịch, Phiên dịch chuyên nghiệp', 'quản lý dự án cơ bản', 'tổ chức và lập kế hoạch', 'giao tiếp và đàm phán', 'sử dụng công cụ cat (trados, Memoq)', 'tin học văn phòng']","- Tốt nghiệp Cao đẳng/ Đại học chuyên ngành Y tế công cộng, quản trị bệnh viện, Dược,...- Có kinh nghiệm trong hoạt động NCKH/TNLS là một lợi thế.- Kỹ năng tổ chức, điều hành các buổi họp/thảo luận.- Thành thạo tin học văn phòng.- Tiếng Anh giao tiếp và chuyên ngành.",0.687,
167,random,7174,3903,Quản Lý,Nhân Viên Trung Tâm Vui Chơi Giải Trí - Part Time,"['tiếng anh thành thạo (c1/ielts 7.0+)', 'kỹ năng biên dịch, Phiên dịch chuyên nghiệp', 'quản lý dự án cơ bản', 'tổ chức và lập kế hoạch', 'giao tiếp và đàm phán', 'sử dụng công cụ cat (trados, Memoq)', 'tin học văn phòng']","- Sinh viên năm 1- 3 tại các trường Cao Đẳng, Đại Học, Trung cấp - Lịch học linh động, làm ít nhất được 4-6 ngày/ tuần. Có thể về trễ sau 23h. Làm việc được t7, cn. Ưu tiên ứng viên làm được Tết Âm Lịch- Kỹ năng giao tiếp tốt- Kỹ năng chăm sóc khách hàng tốt- Ngoại hình ưa nhìn, thân thiện, cởi mở- Nhiệt tình, chăm chỉ,- Nhanh nhẹn, trung thực",0.332,
168,high,38871,6095,Kế Toán Tổng Hợp,Nhân Viên Kế Toán,"['kiến thức cơ bản về kế toán', 'sử dụng thành thạo microsoft office (excel, Word)', 'kỹ năng thu thập và xử lý số liệu', 'khả năng học hỏi nhanh', 'tỉ mỉ, Cẩn thận']","- Nữ sinh năm 1994-1999- Kinh nghiệm 1-2 năm- Tốt nghiệp Cao đẳng, Đại học- Tỉ mỉ, chi tiết…- Khả năng sắp xếp quản lý công việc tốt- Tinh thần sẵn sàng học hỏi và hướng đến làm việc lâu dài",0.933,
169,medium,38871,4244,Kế Toán Tổng Hợp,Nhân Viên An Ninh (Tòa Nhà),"['kiến thức cơ bản về kế toán', 'sử dụng thành thạo microsoft office (excel, Word)', 'kỹ năng thu thập và xử lý số liệu', 'khả năng học hỏi nhanh', 'tỉ mỉ, Cẩn thận']","Cao 1m7 trở lên, không bị cận (cận nhẹ có thể chấp nhận)Giao tiếp anh văn cơ bảnTốt nghiệp THPT trở lênCẩn thận, trung thựcCó thể làm việc xoay ca (Sáng- Chiều- Đêm)",0.68,
170,random,38871,7834,Kế Toán Tổng Hợp,Chuyên Viên Khách Hàng Doanh Nghiệp - Cn Long Biên,"['kiến thức cơ bản về kế toán', 'sử dụng thành thạo microsoft office (excel, Word)', 'kỹ năng thu thập và xử lý số liệu', 'khả năng học hỏi nhanh', 'tỉ mỉ, Cẩn thận']","- Tốt nghiệp Cao đẳng trở lên với các chuyên ngành liên quan như: Kinh tế, Tài chính, Tín dụng, Ngân hàng, Quản trị kinh doanh, Thương mại, Kế toán,…- Ưu tiên các ứng viên có từ 01 năm kinh nghiệm công tác trong lĩnh vực ngân hàng.- Yêu cầu kỹ năng giao tiếp tốt, kỹ năng đàm phán, thương thảo.- Có khả năng làm việc độc lập và theo nhóm.- Năng động, nhiệt tình, trung thực, có trách nhiệm.",0.186,
171,random,23988,14359,Nhân viên ngôn ngữ Trung Quốc,Nhân viên kinh doanh lương 7.3 triệu cứng HH,"['tiếng trung (hsk 5/6)', 'biên phiên dịch tiếng trung - việt', 'giao tiếp đa văn hóa', 'quản lý lịch trình và tài liệu', 'thành thạo microsoft office', 'khả năng thích ứng nhanh', 'tổ chức và sắp xếp công việc']","- Giao tiếp tốt, năng động, hoạt động đội nhóm tốt, hòa đồng - Chăm chỉ, kiên trì. - Không ngại khó, ngại khổ. - Đam mê kinh doanh, muốn kiếm tiền. - Muốn trở thành chuyên gia trong ngành Bất động sản. - Có kinh nghiệm là một lợi thế - Có xe máy đi lại",0.139,
172,high,34376,9969,"Nhân Viên Chăm Sóc Khách Hàng, Kinh Doanh",Nhân viên văn phòng Tại Hà Đông Hà Nội,"['giao tiếp lưu loát', 'khả năng thuyết phục', 'giải quyết vấn đề', 'lắng nghe tích cực', 'tinh thần học hỏi', 'tin học văn phòng cơ bản', 'thái độ phục vụ chuyên nghiệp']","????Tốt nghiệp THPT trở lên ????Có tinh thần học hỏi, năng động, nhanh nhẹn ????Sử dụng tin học văn phòng cơ bản ????????Không yêu cầu kinh nghiệm ( sẽ được đào tạo khi vào làm)",0.905,
173,medium,34376,5691,"Nhân Viên Chăm Sóc Khách Hàng, Kinh Doanh",Lễ Tân Tư Vấn Thẩm Mỹ Làm Đẹp Tại Hà Nội - Hồ Chí Minh (Lương Từ 30 Triệu),"['giao tiếp lưu loát', 'khả năng thuyết phục', 'giải quyết vấn đề', 'lắng nghe tích cực', 'tinh thần học hỏi', 'tin học văn phòng cơ bản', 'thái độ phục vụ chuyên nghiệp']","- Ngoại hình ưa nhìn, có làn da đẹp. Tác phong thanh lịch. Có khả năng chốt sale, upsale.- Khả năng giao tiếp tốt, nhanh nhẹn, linh hoạt, yêu thích công việc làm đẹp, có tinh thần học hỏi và cầu tiến. - Có kinh nghiệm tối thiểu 1-2 năm ở vị trí tương đương.- Ưu tiên có KN tư vấn, chăm sóc khách hàng, mảng thẩm mỹ, làm đẹp, phòng khám...- Có trách nhiệm với công việc và tập thể.",0.688,
174,random,34376,3028,"Nhân Viên Chăm Sóc Khách Hàng, Kinh Doanh",Thực Tập Sinh Kiểm Toán,"['giao tiếp lưu loát', 'khả năng thuyết phục', 'giải quyết vấn đề', 'lắng nghe tích cực', 'tinh thần học hỏi', 'tin học văn phòng cơ bản', 'thái độ phục vụ chuyên nghiệp']","- Học đại học chuyên ngành kế toán - kiểm toán- Nắm vững chuẩn mực kế toán, chế độ kế toán doanh nghiệp, chuẩn mực kiểm toán;- Giao tiếp tốt, nhiệt tình với công việc, có khả năng làm việc theo nhóm;- Ưu tiên những ứng viên nộp hồ sơ sớm",0.291,
175,random,38900,12014,Thu Mua,Nhân viên kinh doanh,"['tìm kiếm và đánh giá nhà cung cấp', 'đàm phán cơ bản', 'quản lý đơn hàng', 'phân tích thị trường nguyên vật liệu', 'thành thạo excel', 'kiến thức về chất liệu dệt may']","- Có kinh nghiệm 1 năm trở lên trong ngành in ấn quảng cáo - Yêu cầu độ tuổi: Từ 22 - 40 tuổi - Chăm chỉ, trung thực, cẩn thận, chủ động trong công việc, chịu được áp lực công việc. - Khả năng sử dụng tốt các phần mềm văn phòng - Microsoft Office (Word, Excel) - Giao tiếp tốt, nhanh nhẹn, hoạt bát",0.101,
